Name,Sportart,Team/Schule,Liga/Verband,Stadt,Region/Land,Status,Warum nicht in USA-Hauptliste,Quelle,Letzte Pruefung,Notizen
Noah Streit,Fussball/Soccer,CF Montreal,MLS,Montreal,Quebec Canada,aktiv,MLS ja aber Arbeitsort Kanada,https://en.wikipedia.org/wiki/Noah_Streit,2026-07-05,"Schweizer U21-Spieler; fuer MLS-Uebersicht relevant, aber nicht fuer USA-Hauptliste"
Nino Niederreiter,Eishockey,Winnipeg Jets,NHL,Winnipeg,Manitoba Canada,aktiv,NHL ja aber Arbeitsort Kanada,https://en.wikipedia.org/wiki/Nino_Niederreiter,2026-07-05,"Schweizer Nationalspieler; wegen Winnipeg nicht in USA-Hauptliste"
Maxime Dominguez,Fussball/Soccer,Toronto FC,MLS,Toronto,Ontario Canada,ehemalig 2025/jetzt Cracovia,War 2025 MLS in Kanada und ist 2026 nicht mehr dort,https://en.wikipedia.org/wiki/Maxime_Dominguez,2026-07-05,"Fuer historische MLS-Schweizer relevant, aber aktuell kein USA-Fall"
Ana-Maria Crnogorcevic,Fussball/Soccer,Seattle Reign FC,NWSL,Seattle,Washington USA,ehemalig 2024-2025/jetzt Strasbourg,Nicht mehr aktuell in USA,https://en.wikipedia.org/wiki/Ana-Maria_Crnogor%C4%8Devi%C4%87,2026-07-05,"Frueher Portland Thorns und Seattle Reign; aktueller Club Strasbourg"
Ramona Bachmann,Fussball/Soccer,Houston Dash,NWSL,Houston,Texas USA,ehemalig 2024-2025/jetzt BSC YB Frauen,Nicht mehr aktuell in USA,https://en.wikipedia.org/wiki/Ramona_Bachmann,2026-07-05,"Frueher Atlanta Beat und Houston Dash; aktueller Club BSC YB Frauen"
Stephanie Egger,Kampfsport/MMA,UFC / Oktagon MMA,UFC / Oktagon,St. Gallen,Switzerland,ehemalig UFC / aktuell ausserhalb UFC,Nicht aktueller UFC-Roster; Schweizerin aber kein aktueller USA-Hauptlistenfall,https://en.wikipedia.org/wiki/Stephanie_Egger,2026-07-05,"Ehemalige UFC-Bantamweight; laut Profil 2024 aus UFC-Roster entfernt und danach ausserhalb UFC aktiv."
Caterina Regazzoni,Fussball/Soccer,Northwestern Wildcats,NCAA Division I,Evanston,Illinois USA,ehemalig 2025 / 2026 Status offen,Schweizer Spielerin; Northwestern Senior Captain 2025,https://www.insidenu.com/northwestern-womens-soccer/55828/womens-soccer-northwesterns-2025-season-leaves-lasting-impact-though-it-ends-in-heartbreak,2026-07-05,"2025 Northwestern senior; Quelle nennt ihren Abgang nach der Saison. Nicht in Hauptliste, bis 2026-Status/Proficlub USA bestaetigt ist."
Alex Raich,American Football,Edmonton Elks / Kansas Jayhawks,CFL / NCAA,Edmonton,Alberta Canada,ehemalig USA College / aktuell Kanada,Schweizer Footballspieler; spielte College Football bei Kansas,https://en.wikipedia.org/wiki/Alex_Raich,2026-07-05,"Aktuell CFL Edmonton, daher Kanada-Watchlist; Kansas war USA-College, aber nicht aktueller USA-Arbeitsort."
Andrea Braendli,Eishockey,Detroit PWHL expansion team / Frölunda HC,PWHL / SDHL,Detroit,Michigan USA,gedraftet aber nicht aktuell Nordamerika-Hauptliste,Schweizer Nationalspielerin; 2026 PWHL Draft,https://www.landgrantholyland.com/ohio-state-hockey/118073/ohio-state-buckeyes-womens-ice-hockey-2026-pwhl-draft-emma-peschel-sara-swiderski-sloane-matthews,2026-07-05,"Von Detroit gedraftet, aber aktueller Einsatz/Vertrag in Nordamerika noch nicht laufend bestaetigt; erst in Hauptliste wenn aktiv bei PWHL Detroit."
Nicholas Ammeter,Fussball/Soccer,Las Vegas Lights,USL Championship,Las Vegas,Nevada USA,unklar / nicht Hauptliste,Schweizer Nachwuchs-Nationalspieler; Schweizer-US-Doppelbezug,https://en.wikipedia.org/wiki/Nicholas_Ammeter,2026-07-05,"Widerspruechlicher/unklarer Vertragsstatus nach 2025; erst in Hauptliste wenn aktueller Rosterplatz bestaetigt ist."
Ange Loosa,Kampfsport/MMA,UFC,UFC,Las Vegas,Nevada USA,ehemalig UFC / nicht aktuelles UFC-Roster,Kongolesisch-schweizerischer MMA-Fighter; Instagram @ange_loosa; im UFC-Kontext mit DRC-Flag gefuehrt,https://en.wikipedia.org/wiki/2025_in_UFC,2026-07-05,"War UFC-Welterweight; laut 2025-in-UFC im Juli 2025 released. Nicht Hauptliste, solange kein aktueller UFC- oder Nordamerika-Vertrag bestaetigt ist."
